,precision,recall,f1-score,support
0,0.5661764705882353,0.616,0.5900383141762452,1000.0
1,0.7089397089397089,0.682,0.6952089704383282,1000.0
2,0.46054181389870436,0.391,0.42293131422390484,1000.0
3,0.36140724946695096,0.339,0.34984520123839014,1000.0
4,0.49221183800623053,0.474,0.48293428425878754,1000.0
5,0.4290748898678414,0.487,0.4562060889929742,1000.0
6,0.6124444444444445,0.689,0.6484705882352941,1000.0
7,0.6126984126984127,0.579,0.5953727506426735,1000.0
8,0.7119386637458927,0.65,0.6795608991113434,1000.0
9,0.5914972273567468,0.64,0.6147934678194045,1000.0
accuracy,0.5547,0.5547,0.5547,0.5547
macro avg,0.5546930719013169,0.5547,0.5535361879137345,10000.0
weighted avg,0.5546930719013168,0.5547,0.5535361879137346,10000.0
