,precision,recall,f1-score,support
0,0.7131647776809067,0.818,0.7619934792734047,1000.0
1,0.8182683158896289,0.86,0.8386153096050707,1000.0
2,0.7425742574257426,0.525,0.6151142355008787,1000.0
3,0.6144927536231884,0.424,0.501775147928994,1000.0
4,0.6987315010570825,0.661,0.6793422404933197,1000.0
5,0.6284860557768924,0.631,0.629740518962076,1000.0
6,0.6326530612244898,0.899,0.7426683188764973,1000.0
7,0.7437619961612284,0.775,0.7590597453476984,1000.0
8,0.8591703056768559,0.787,0.8215031315240084,1000.0
9,0.7760223048327137,0.835,0.8044315992292871,1000.0
accuracy,0.7215,0.7215,0.7215,0.7215
macro avg,0.722732532934873,0.7215,0.7154243726741234,10000.0
weighted avg,0.7227325329348728,0.7215,0.7154243726741235,10000.0
